id,round,label,player1,team1,player2,team2,date,time,winner,result
c-r1-1,1,Round 1,Abinesh Subramani,team-alpha,Rahul Mehta,team-gamma,2026-05-24,10:00,,
c-r1-2,1,Round 1,Vikram Singh,team-beta,Nitin Bansal,team-delta,2026-05-24,10:00,,
c-r1-3,1,Round 1,Priya Nair,team-alpha,Sunita Chauhan,team-gamma,2026-05-24,10:30,,
c-r1-4,1,Round 1,Anita Reddy,team-beta,Swati Agarwal,team-delta,2026-05-24,10:30,,
c-r2-1,2,Round 2,Abinesh Subramani,team-alpha,Nitin Bansal,team-delta,2026-05-24,11:30,,
c-r2-2,2,Round 2,Rahul Mehta,team-gamma,Vikram Singh,team-beta,2026-05-24,11:30,,
c-r2-3,2,Round 2,Priya Nair,team-alpha,Swati Agarwal,team-delta,2026-05-24,12:00,,
c-r2-4,2,Round 2,Sunita Chauhan,team-gamma,Anita Reddy,team-beta,2026-05-24,12:00,,
c-r3-1,3,Round 3,Abinesh Subramani,team-alpha,Vikram Singh,team-beta,2026-05-25,10:00,,
c-r3-2,3,Round 3,Nitin Bansal,team-delta,Rahul Mehta,team-gamma,2026-05-25,10:00,,
c-r3-3,3,Round 3,Priya Nair,team-alpha,Anita Reddy,team-beta,2026-05-25,10:30,,
c-r3-4,3,Round 3,Swati Agarwal,team-delta,Sunita Chauhan,team-gamma,2026-05-25,10:30,,
c-r4-1,4,Round 4,Abinesh Subramani,team-alpha,Swati Agarwal,team-delta,2026-05-25,14:00,,
c-r4-2,4,Round 4,Rahul Mehta,team-gamma,Anita Reddy,team-beta,2026-05-25,14:00,,
c-r4-3,4,Round 4,Priya Nair,team-alpha,Nitin Bansal,team-delta,2026-05-25,14:30,,
c-r4-4,4,Round 4,Vikram Singh,team-beta,Sunita Chauhan,team-gamma,2026-05-25,14:30,,
